Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,1,1290,.303,Residential,129900 CAD,408 Albert STREET 
3,2,1080,.248,Residential,84900 CAD,220 Howard STREET 
2,1,864,.344,Residential,125500 CAD,126 3rd STREET W 
4,2,1080,.174,Residential,189000 CAD,608 B AVENUE W 
3,2,998,.132,Residential,52000 CAD,13 Pacific AVENUE 
3,2,1901,.138,Residential,178000 CAD,219 Carlyle STREET 
3,2,1240,,Residential,157500 CAD,E 213 First STREET 
3,2,640,,Residential,169000 CAD,330 Y AVENUE S 
3,3,1208,.165,Residential,160000 CAD,711 1st STREET E 
4,2,1328,.209,Residential,189900 CAD,311 Finley AVENUE 
3,2,798,,Residential,149000 CAD,609 Hill AVENUE 
4,2,1040,0.14,Residential,110000 CAD,122 4th Street CRESCENT 
3,1,720,.138,Residential,164900 CAD,301 6th STREET E 
3,2,952,.069,Residential,99000 CAD,21 3rd AVENUE SE 
2,1,768,.106,Residential,99900 CAD,522 Hamjea STREET 
3,2,1905,0.14,Residential,199900 CAD,27 Lakeshore DRIVE 
3,1,1008,.193,Residential,130000 CAD,38 Rhodes STREET 
3,3,1400,.196,Residential,110000 CAD,300 7th STREET 
2,1,936,.287,Residential,65000 CAD,132 2nd AVENUE W 
2,1,704,.152,Residential,79900 CAD,126 9th STREET 
3,1,925,,Residential,176900 CAD,112 Skye DRIVE 
3,2,958,.148,Residential,115000 CAD,602 5th AVENUE 
1,1,648,.083,Residential,135400 CAD,1160 Coteau STREET W 
2,1,880,,Residential,120000 CAD,315 Carlyle STREET 
1,1,788,,Residential,84500 CAD,318 Franklin STREET 
4,2,1040,.275,Residential,99900 CAD,49 7th STREET NE 
3,2,830,.138,Residential,169000 CAD,218 Alberta AVENUE 
3,2,896,,Residential,139900 CAD,131 5th STREET 
2,1,1133,,Residential,124900 CAD,721 10th STREET 
3,1,840,0.13,Residential,103500 CAD,1318 6th AVENUE W 
5,3,2430,.231,Residential,169900 CAD,902 2nd AVENUE 
2,1,912,0.11,Residential,60000 CAD,412 1st STREET W 
2,2,809,,Residential,179900 CAD,201 S AVENUE N 
4,2,1186,.239,Residential,174500 CAD,232 Elm AVENUE N 
3,1,960,0.14,Residential,197000 CAD,701 6th AVENUE 
4,1,1800,3.05,Residential,179000 CAD,Huculak Acreage 
2,1,688,,Residential,89900 CAD,210 2nd AVENUE N 
2,1,960,,Residential,95000 CAD,327 Main STREET 
2,1,676,.121,Residential,99900 CAD,911 Brown STREET 
4,2,880,.231,Residential,79000 CAD,906 Elsinore STREET 
4,3,1276,.219,Residential,174000 CAD,121 Jubilee BAY 
3,2,888,.138,Residential,120000 CAD,223 Souris STREET 
4,1,1079,0.11,Residential,104900 CAD,588 3rd STREET E 
2,1,814,.138,Residential,105000 CAD,1015 105th AVENUE 
4,2,1375,.298,Residential,140000 CAD,23 Newcombe STREET 
4,3,1025,,Residential,160000 CAD,805 Assiniboia AVENUE 
3,3,1266,.162,Residential,157700 CAD,400 12th STREET W 
1,1,456,.138,Residential,54900 CAD,204 5th STREET E 
1,1,1026,0.38,Residential,109900 CAD,7 Park AVENUE 
2,1,866,,Residential,119000 CAD,22 Main STREET 
2,1,900,g>42,Residential,125000 CAD,Fosston Acreage 
4,2,990,.179,Residential,148200 CAD,146 8th AVENUE W 
2,1,936,,Residential,83000 CAD,103 Meighen STREET 
,,624,.138,Residential,19900 CAD,302 4th STREET E 
4,3,1280,.138,Residential,169900 CAD,18 Wauchope STREET 
3,1,1143,.139,Residential,185000 CAD,46 Foxglove Cres 
3,1,1070,,Residential,109500 CAD,207 Main STREET 
5,3,1246,.207,Residential,155000 CAD,228 Columbia AVENUE 
2,2,1200,.138,Residential,99900 CAD,325 Bray AVENUE 
2,2,1200,,Residential,64300 CAD,105 Henry STREET 
1,1,562,0.28,Residential,110000 CAD,401 4th AVENUE E 
4,2,964,.141,Residential,179900 CAD,1309 14th STREET W 
2,1,820,0.15,Residential,38500 CAD,101 4th STREET E 
4,2,1448,.138,Residential,164500 CAD,311 Main STREET 
2,1,864,.143,Residential,86500 CAD,212 3rd AVENUE S 
2,,768,0.09,Residential,144900 CAD,172 1st STREET S 
4,2,936,.165,Residential,169000 CAD,108 Jubilee Bay BAY 
3,2,882,.115,Residential,190000 CAD,1205 McIntosh STREET 
5,2,1024,,Residential,189000 CAD,413 5th Avenue W 
2,1,672,.072,Residential,76500 CAD,315 TORONTO STREET 
4,1,1176,.219,Residential,96000 CAD,601 1st AVENUE W 
2,1,884,0.15,Residential,79000 CAD,6 2nd STREET E 
2,1,1250,,Residential,134900 CAD,314 Douglass STREET 
4,2,864,.143,Residential,155000 CAD,505 1st AVENUE W 
2,1,1316,.069,Residential,139900 CAD,1071 Connaught AVENUE 
3,1,672,.108,Residential,104900 CAD,1140 Elphinstone STREET 
3,1,2782,>1.9,Residential,159900 CAD,Mayview Acreage 
3,1,1288,.275,Residential,149900 CAD,202-204 John STREET 
2,1,619,.067,Residential,149900 CAD,315 I AVENUE N 
3,1,967,.289,Residential,129000 CAD,216 Parks STREET 
2,2,972,.138,Residential,159900 CAD,206 John STREET 
2,1,672,.149,Residential,72000 CAD,405 Herbert STREET 
2,1,939,,Residential,39900 CAD,29 Navou PARK 
2,1,820,.143,Residential,57500 CAD,103 3rd AVENUE W 
1,2,1027,,Residential,129900 CAD,209 2nd STREET E 
1,1,804,.138,Residential,69000 CAD,215 Fourth STREET E 
1,1,676,,Other,199500 CAD,"59 Walleye Way, Prairie Lake Regional Park "
4,1,926,.138,Residential,42000 CAD,Queen STREET 
2,1,712,,Residential,94900 CAD,608 Woodward AVENUE 
3,2,720,.207,Residential,117500 CAD,610 Manitoba AVENUE 
2,1,720,.138,Residential,95000 CAD,1332 108th STREET 
2,1,752,.137,Residential,83500 CAD,300 5th STREET W 
2,1,672,.072,Residential,122900 CAD,2204 Argyle STREET 
3,2,788,.574,Residential,95000 CAD,"Lots 18-22 Main Street, Bapaume, SK "
3,2,1130,.207,Residential,169000 CAD,608 2nd STREET W 
2,1,1040,.138,Residential,110000 CAD,91 1st STREET SW 
2,2,566,,Residential,50000 CAD,210 Hamjea STREET 
3,3,1290,.207,Residential,99000 CAD,517 Alberta AVENUE 
1,1,676,,Residential,199500 CAD,59 Walleye WAY 
3,2,1040,.121,Residential,189000 CAD,639 Prince STREET 
3,2,974,.321,Residential,113000 CAD,107 Main STREET 
3,2,1168,,Residential,99950 CAD,216 Main STREET 
4,1,1460,.165,Residential,79000 CAD,345 2nd STREET W 
7,1,2063,,Residential,73900 CAD,142 1st AVENUE E 
4,2,748,.143,Residential,188000 CAD,202 3rd AVENUE W 
3,1,1253,.138,Residential,169900 CAD,428 Sumner STREET 
4,2,1064,.149,Residential,159000 CAD,18 Souris AVENUE 
3,1,998,,Residential,110000 CAD,13 Dunlop STREET E 
3,2,1311,,Residential,199000 CAD,213 4th STREET NE 
2,1,1152,0.17,Residential,39000 CAD,100 20 HIGHWAY 
3,3,1169,,Residential,159000 CAD,508 6th STREET E 
1,1,400,.074,Residential,74900 CAD,1913 20th STREET W 
3,1,1006,.148,Residential,127600 CAD,702 Prince Edward STREET 
4,2,1000,.207,Residential,85000 CAD,136 Broadway STREET 
2,1,825,,Residential,74900 CAD,204 1st STREET E 
4,2,1344,.138,Residential,189000 CAD,219 1st STREET W 
