Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
1.0,1.0,652.0,319000.0,"315 rue richmond, #718 ",QC,Central Canada,45.4881834,-73.56548017069696,"Bass Condos - Phase 1, 315, Rue Richmond, Petite-Bourgogne, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3J 1T9, Canada"
5.0,4.0,4591.0,1580800.0,21187 rue euclide-lavigne ,QC,Central Canada,45.42165328611146,-73.93411722135662,"21187, Rue Euclide-Lavigne, Sainte-Anne-de-Bellevue, Agglomération de Montréal, Montréal (06), Québec, H9X 3Y7, Canada"
4.0,3.0,19085.0,467700.0,42 rue france ,QC,Central Canada,45.85980715315209,-76.72834800146182,"42, Rue France, Mansfield-et-Pontefract, Pontiac (MRC), Outaouais, Québec, J0X 1R0, Canada"
4.0,2.0,1050.0,594900.0,5166 av de versailles ,QC,Central Canada,45.50885994511388,-73.84682309906212,"5166, Avenue de Versailles, Pierrefonds-Est/Roxboro, Pierrefonds-Roxboro, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8Z 1T6, Canada"
4.0,4.0,5479.0,3200000.0,4306 av. montrose ,QC,Central Canada,45.48936274444444,-73.5975173111111,"4306, Avenue Montrose, Westmount, Agglomération de Montréal, Montréal (06), Québec, H3Y 3B1, Canada"
3.0,2.0,971.0,781485.0,1000 de la montagne ,QC,Central Canada,45.7950152,-71.8978263,"De la Montagne, Trois-Lacs, Val-des-Sources, Les Sources, Estrie, Québec, J1T 1A4, Canada"
1.0,1.0,950.0,439000.0,285 place d'youville ,QC,Central Canada,45.5018297,-73.5553139,"285, Place d'Youville, Vieux-Montréal, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2Y 2B7, Canada"
3.0,1.0,1890.0,595000.0,439 av. mousseau-vermette ,QC,Central Canada,45.44639682331688,-73.72593499866203,"439, Avenue Mousseau-Vermette, Dorval, Agglomération de Montréal, Montréal (06), Québec, H9S 1A7, Canada"
1.0,1.0,588.0,513789.0,1000 de la montagne ,QC,Central Canada,45.7950152,-71.8978263,"De la Montagne, Trois-Lacs, Val-des-Sources, Les Sources, Estrie, Québec, J1T 1A4, Canada"
4.0,3.0,1750.0,890000.0,310 rue centre ,QC,Central Canada,45.6065393,-76.48883474013815,"310, Centre Street, Maplewood Subdivision, Shawville, Pontiac (MRC), Outaouais, Québec, J0X 2Y0, Canada"
