Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
3.0,1.0,1023.0,,Residential,179900 CAD,79 Amberly Co NW ,AB,Prairie Provinces
3.0,2.0,1216.0,,Other,60000 CAD,7903 97 Avenue ,AB,Prairie Provinces
2.0,1.0,739.0,,Residential,158500 CAD,5601 Dalton Drive NW #101A ,AB,Prairie Provinces
3.0,2.0,128791.0,,Other,155000 CAD,1663 Jubilee Crescent ,AB,Prairie Provinces
1.0,,210.0,0.46,Other,67500 CAD,"427, 60501 Range Road 120 ",AB,Prairie Provinces
3.0,2.0,116239.0,0.38,Residential,190000 CAD,502 11120 Township Road 632A ,AB,Prairie Provinces
1.0,1.0,2812.0,2.96,Residential,99900 CAD,82032 Highway 744 ,AB,Prairie Provinces
2.0,1.0,838.0,,Residential,179900 CAD,12032 25 ave ,AB,Prairie Provinces
4.0,2.0,1130.0,,Residential,139900 CAD,5206-53 avenue Andrew Alberta ,AB,Prairie Provinces
3.0,2.0,1636.0,,Residential,69900 CAD,5118 51ave ,AB,Prairie Provinces
3.0,1.0,122171.0,,Other,99999 CAD,1 ,AB,Prairie Provinces
3.0,2.0,111946.0,,Residential,109900 CAD,4811 51 Ave ,AB,Prairie Provinces
1.0,1.0,642.0,,Residential,169900 CAD,10411 122 St NW ,AB,Prairie Provinces
4.0,2.0,980.0,,Residential,159900 CAD,4920 - 51 ave ,AB,Prairie Provinces
3.0,1.0,822.0,,Other,31500 CAD,C27 Terrace Park ,AB,Prairie Provinces
1.0,1.0,928.0,,Residential,145000 CAD,9801 101 Street ,AB,Prairie Provinces
3.0,2.0,1200.0,>6.7,Residential,200000 CAD,46515 Range Road 161 ,AB,Prairie Provinces
5.0,3.0,1099973.0,,Single,159500 CAD,53 AV 5340,AB,Prairie Provinces
2.0,1.0,1134.0,.344,Single,150000 CAD,106 4 Street NW ,AB,Prairie Provinces
3.0,1.0,896964.0,0.23,Single,179900 CAD,"422, 59201 Range Road 95 422",AB,Prairie Provinces
3.0,2.0,1136678.0,,Single,145000 CAD,1018 West Mount CR NW ,AB,Prairie Provinces
3.0,3.0,1240.0,.138,Single,179900 CAD,5506 49 Street ,AB,Prairie Provinces
5.0,2.0,2254.0,.225,Single,155000 CAD,366 20th Street ,AB,Prairie Provinces
2.0,2.0,11295.0,.274,Single,145000 CAD,4636 53 Street ,AB,Prairie Provinces
2.0,1.0,926.0,.172,Single,167500 CAD,1064 Dominion Street SE ,AB,Prairie Provinces
3.0,1.0,796.0,.105,Single,149900 CAD,5337 49 Avenue ,AB,Prairie Provinces
3.0,2.0,1216009.0,,Single,35000 CAD,4405 50 AV 9,AB,Prairie Provinces
3.0,1.0,1300.0,0.14,Single,59900 CAD,4915 51 Avenue ,AB,Prairie Provinces
1.0,1.0,792.0,5.81,Residential,78000 CAD,38226 HIGHWAY 855 ,AB,Prairie Provinces
3.0,2.0,1527.0,,Other,162500 CAD,2207 Danielle Drive ,AB,Prairie Provinces
2.0,1.0,956.0,0.24,Residential,120000 CAD,148 4th Street ,AB,Prairie Provinces
2.0,1.0,816.0,.138,Single,199900 CAD,4709 49 Street ,AB,Prairie Provinces
3.0,2.0,10764.0,,Single,125000 CAD,418 Oak Wood CR NW ,AB,Prairie Provinces
3.0,1.0,82805.0,.114,Single,187500 CAD,5011 61 AvenueClose ,AB,Prairie Provinces
1.0,1.0,748.0,>0.2,Residential,44500 CAD,205 2 Avenue ,AB,Prairie Provinces
3.0,2.0,1216009.0,0.53,Single,189900 CAD,61029 Rge Rd 465 137,AB,Prairie Provinces
3.0,3.0,1154.0,.166,Single,179900 CAD,614 5 Avenue W ,AB,Prairie Provinces
5.0,2.0,904.0,.149,Single,199900 CAD,350 5 Street SE ,AB,Prairie Provinces
3.0,1.0,1160359.0,5.96,Single,189000 CAD,242062 HWY 661 ,AB,Prairie Provinces
3.0,2.0,1216.0,,Single,89900 CAD,331 Scott LANE ,AB,Prairie Provinces
3.0,2.0,1172.0,1.27,Single,180000 CAD,729 Highway 824058,AB,Prairie Provinces
2.0,1.0,627756.0,0.01,Single,120000 CAD,5 ST 222,AB,Prairie Provinces
4.0,2.0,1056056.0,,Single,182900 CAD,108 AV 10331,AB,Prairie Provinces
4.0,1.0,95703.0,.126,Single,132900 CAD,5109 48 Avenue ,AB,Prairie Provinces
3.0,1.0,1332368.0,,Single,54900 CAD,10770 Winterburn RD NW 50,AB,Prairie Provinces
5.0,2.0,1158.0,0.14,Residential,169000 CAD,320 7 Avenue W ,AB,Prairie Provinces
3.0,1.0,896.0,,Other,38500 CAD,4802 54 Avenue 71,AB,Prairie Provinces
5.0,3.0,1190.0,.185,Single,179900 CAD,704 HAMMOND DR ,AB,Prairie Provinces
3.0,2.0,1069403.0,.092,Single,188000 CAD,10664 93 ST NW ,AB,Prairie Provinces
3.0,1.0,924.0,,Single,15000 CAD,"73, 810 56 Street 73",AB,Prairie Provinces
3.0,1.0,1412.0,>2.4,Single,180000 CAD,52&54 1 Avenue SW ,AB,Prairie Provinces
2.0,1.0,1.0,.217,Single,55000 CAD,4302 50 Street ,AB,Prairie Provinces
2.0,1.0,12497.0,,Single,80000 CAD,55 AV 5032,AB,Prairie Provinces
2.0,1.0,724955.0,.149,Single,159900 CAD,46 AV 4608,AB,Prairie Provinces
3.0,2.0,1134.0,,Single,155000 CAD,"123, 99 Arbour Lake Road NW 123",AB,Prairie Provinces
3.0,1.0,1151748.0,.147,Single,159900 CAD,333 White Earth ST ,AB,Prairie Provinces
2.0,1.0,712254.0,,Single,174900 CAD,55 AV 4915,AB,Prairie Provinces
3.0,2.0,109052.0,,Other,144000 CAD,3104 29 Street S ,AB,Prairie Provinces
3.0,2.0,743362.0,>0.1,Single,159000 CAD,11838 66 ST NW ,AB,Prairie Provinces
2.0,2.0,130901.0,.149,Single,198888 CAD,107 ST 10243,AB,Prairie Provinces
2.0,1.0,776.0,.182,Single,112900 CAD,11004 106 Avenue ,AB,Prairie Provinces
3.0,2.0,1174.0,0.16,Single,199000 CAD,203 Railway Avenue ,AB,Prairie Provinces
4.0,2.0,1056.0,0.14,Residential,192500 CAD,5121 56 Street ,AB,Prairie Provinces
3.0,2.0,1216.0,,Other,55000 CAD,75 Greenwood Villa ,AB,Prairie Provinces
3.0,3.0,1325.0,0.28,Single,190000 CAD,200 2nd Ave N.E. ,AB,Prairie Provinces
5.0,2.0,1284.0,0.18,Residential,184500 CAD,4902 58 Street ,AB,Prairie Provinces
3.0,2.0,149492.0,,Other,199900 CAD,2122 Danielle Drive ,AB,Prairie Provinces
3.0,2.0,1054.0,,Other,124900 CAD,2335 Danielle Drive ,AB,Prairie Provinces
