Beds,Bath,Sqft,Price,Address,Province,Region
3.0,2.0,,139000.0,151 15e Street ,NB,Atlantic region
2.0,1.0,,149900.0,35 Currie Avenue ,NB,Atlantic region
3.0,2.0,,225000.0,865 Latimore Lake Road ,NB,Atlantic region
4.0,2.0,,119900.0,6936 Route 107 ,NB,Atlantic region
2.0,1.0,,59900.0,83 Theater Street ,NB,Atlantic region
3.0,1.0,,289000.0,161 Union Street ,NB,Atlantic region
4.0,2.0,,85500.0,65 Jacob Street ,NB,Atlantic region
2.0,1.0,,129000.0,461 Saulnier Est ,NB,Atlantic region
2.0,1.0,,119900.0,178 Upton Street ,NB,Atlantic region
6.0,2.0,,224900.0,31 Avon Road ,NB,Atlantic region
,,,59900.0,120 Hectres (296 acres) ,NB,Atlantic region
,,2.0,159900.0,3205 Route 108 ,NB,Atlantic region
,,,119900.0,"Acerage off of O""Keefe Rd ",NB,Atlantic region
,,,29995.0,"Johnson Road; Renous, New Brunswick ",NB,Atlantic region
,,900.0,269900.0,"3086 108 Hwy Renous, E9E 2M7 ",NB,Atlantic region
,,,30000.0,"Sillikers, New Brunswick ",NB,Atlantic region
3.0,1.0,,289900.0,4791 Route 3 ,NB,Atlantic region
,,800.0,39900.0,1.7 Hec Route 420 Matthews Settlement ,NB,Atlantic region
,,,79901.0,347 Halcomb Rd ,NB,Atlantic region
3.0,2.0,,274000.0,457 Route 735 ,NB,Atlantic region
,,,44500.0,"9720 sq m Sorel Rd, Wayerton, E9E 0A4 ",NB,Atlantic region
3.0,2.0,,479000.0,34 Nancy Avenue ,NB,Atlantic region
,,1397.0,179500.0,725 Route 435 Highway ,NB,Atlantic region
,,,119900.0,1120 Route 420 Cassilis ,NB,Atlantic region
,,836.0,141000.0,106 Tardy Ave ,NB,Atlantic region
2.0,1.0,,349000.0,466 Milltown Boulevard ,NB,Atlantic region
2.0,2.0,,334900.0,652 Royal Oaks Boulevard Model Unit ,NB,Atlantic region
,,390000.0,390000.0,"144 Wolf Dr, Cains River, E9B 2H6 ",NB,Atlantic region
,,,60000.0,1.1 Hecta Big Ferry Rd ,NB,Atlantic region
,,,159900.0,"3.3 Hec Route 118, Gray Rapids, E9B 1G2 ",NB,Atlantic region
1.0,1.0,,79900.0,589 St. David Ridge Road ,NB,Atlantic region
,,1152.0,159900.0,2230 Weldfield Collette ,NB,Atlantic region
,,,59900.0,Riverside Dr ,NB,Atlantic region
,,,159900.0,"Camp Bettsburg Road, Doaktown ",NB,Atlantic region
,,,169900.0,5340 Route 117 ,NB,Atlantic region
1.0,,624.0,119900.0,56  Lakeshore Drive ,NB,Atlantic region
1.0,,320.0,51999.0,35 Morey Brow Road ,NB,Atlantic region
3.0,,,194500.0,"81 Bremner Dr, Miramichi ",NB,Atlantic region
4.0,2.0,,139000.0,39 Lawrence Road ,NB,Atlantic region
,,1225.0,99800.0,643 Beaverbrook Rd ,NB,Atlantic region
,,768.0,54000.0,"60 Schofield Lane, Renous, E9E 2E8 ",NB,Atlantic region
,,,99900.0,"198 Northwest Rd, Sunny Corner, E9E 1K8 ",NB,Atlantic region
,,672.0,179900.0,6 hec Urquhart Rd ,NB,Atlantic region
,,,19900.0,2 Hec. Dan Brook Lane ,NB,Atlantic region
,,2112.0,249999.0,248 Duke St ,NB,Atlantic region
,,,12900.0,30 Deepwood Avenue ,NB,Atlantic region
,,800.0,149900.0,80 MacTavish Rd ,NB,Atlantic region
3.0,1.0,,229000.0,2475-2477 Route 127 ,NB,Atlantic region
,,,45000.0,"21 Robertson Brook Road; Brantville, New Brunswick E9H 1M1 ",NB,Atlantic region
,,,39900.0,"- Route 11.  Glenelg, E1N 5C7 ",NB,Atlantic region
,,600.0,99700.0,"2065 Route 108, Renous, E9E 2N3 ",NB,Atlantic region
,,1080.0,229900.0,"465 Williston Dr, Miramichi, E1V 5X8 ",NB,Atlantic region
,,,164900.0,"2560 King George Highway. Miramichi, E1V 6W9 ",NB,Atlantic region
,,,80000.0,"2299 Route 118; Mckinleyville, E9E 2H7 ",NB,Atlantic region
,,,99900.0,3204 Sq M Murdock Beach Road ,NB,Atlantic region
,,,30000.0,"lot 27 Gulliver St, Miramichi, E1N 3A7 ",NB,Atlantic region
3.0,2.0,,149900.0,660 Route 755 ,NB,Atlantic region
,,1104.0,489800.0,2570 King George Highway ,NB,Atlantic region
,,,129900.0,261 Main St Blackville ,NB,Atlantic region
,,540.0,118498.0,"97 Hambrook Point Rd, Renous, E9E 2P1 ",NB,Atlantic region
,,1261.0,69900.0,"279 Northwest Rd, Exmoor, E9E 1L7 ",NB,Atlantic region
,,928.0,229900.0,42 Flett St ,NB,Atlantic region
,,1130.0,114900.0,"688 King George Hwy, Miramichi, E1V 1P3 ",NB,Atlantic region
,,1600.0,249900.0,11123 Rue Principale ,NB,Atlantic region
4.0,2.0,,254900.0,128 Main Street ,NB,Atlantic region
,,,49900.0,2680 420 Route ,NB,Atlantic region
,,800.0,74900.0,"181 Main St Blackville, New Brunswick ",NB,Atlantic region
,,966.0,144500.0,3445 Route 118 ,NB,Atlantic region
,,2562.0,249900.0,"62 Schofield Lane, Renous, E9E 2E8 ",NB,Atlantic region
4.0,2.0,,139000.0,16 Victoria Street ,NB,Atlantic region
2.0,2.0,,469000.0,3576 Route 127 ,NB,Atlantic region
,,1245.0,249900.0,87 Percy Kelly Dr ,NB,Atlantic region
,,,649800.0,1189 Beaverbrook Rd ,NB,Atlantic region
,,574.0,134900.0,"135 Main St, Doaktown, E9C 1A3 ",NB,Atlantic region
,,722.0,74500.0,"898 Hwy 118, Gray Rapids, E9B 1G2 ",NB,Atlantic region
,,813.0,135000.0,2292 Route 420 Hwy ,NB,Atlantic region
,,,135000.0,Quarry Road ,NB,Atlantic region
,,,109000.0,94-1 Route 108 ,NB,Atlantic region
,,1000.0,115000.0,"18 Centrale St, Rogersville, E4Y 0A4 ",NB,Atlantic region
,,,97500.0,60/62 Queensway ,NB,Atlantic region
,,,128500.0,DIGDEGUASH LAKE ,NB,Atlantic region
,,,62500.0,950 Route 772 ,NB,Atlantic region
,,,13900.0,74-5 Jacqueline Dr. lot ,NB,Atlantic region
,,,329900.0,614 Wellington St. Miramichi ,NB,Atlantic region
,,1766.0,299900.0,72-74 Tweedie St ,NB,Atlantic region
2.0,1.0,,199900.0,420 Upper Towerhill Road ,NB,Atlantic region
,,,54900.0,"380 Halcomb RdHalcomb, E9E 1W6 ",NB,Atlantic region
,,,45000.0,Sorel Rd ,NB,Atlantic region
,5.0,10800.0,1200000.0,"131 Main Street, Sackville, NB ",NB,Atlantic region
,,,129900.0,9350 sqm Point Aux Carr Road ,NB,Atlantic region
,,,109900.0,"94-1 Route 108; Renous, New Brunswick ",NB,Atlantic region
,,5688.0,14860.0,- O'Keefe Rd ,NB,Atlantic region
,,701.0,169500.0,"168 Brown Rd Miramichi, E1V 3L3 ",NB,Atlantic region
