Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,1,796,.105,Single,149900 CAD,5337 49 Avenue 
3,2,1216009,,Single,35000 CAD,4405 50 AV 9
3,1,1300,0.14,Single,59900 CAD,4915 51 Avenue 
1,1,792,5.81,Residential,78000 CAD,38226 HIGHWAY 855 
3,2,1527,,Other,162500 CAD,2207 Danielle Drive 
2,1,956,0.24,Residential,120000 CAD,148 4th Street 
2,1,816,.138,Single,199900 CAD,4709 49 Street 
3,2,10764,,Single,125000 CAD,418 Oak Wood CR NW 
3,1,82805,.114,Single,187500 CAD,5011 61 AvenueClose 
1,1,748,>0.2,Residential,44500 CAD,205 2 Avenue 
3,2,1216009,0.53,Single,189900 CAD,61029 Rge Rd 465 137
3,3,1154,.166,Single,179900 CAD,614 5 Avenue W 
5,2,904,.149,Single,199900 CAD,350 5 Street SE 
3,1,1160359,5.96,Single,189000 CAD,242062 HWY 661 
3,2,1216,,Single,89900 CAD,331 Scott LANE 
3,2,1172,1.27,Single,180000 CAD,729 Highway 824058
2,1,627756,0.01,Single,120000 CAD,5 ST 222
4,2,1056056,,Single,182900 CAD,108 AV 10331
4,1,95703,.126,Single,132900 CAD,5109 48 Avenue 
3,1,1332368,,Single,54900 CAD,10770 Winterburn RD NW 50
5,2,1158,0.14,Residential,169000 CAD,320 7 Avenue W 
3,1,896,,Other,38500 CAD,4802 54 Avenue 71
5,3,1190,.185,Single,179900 CAD,704 HAMMOND DR 
3,2,1069403,.092,Single,188000 CAD,10664 93 ST NW 
3,1,924,,Single,15000 CAD,"73, 810 56 Street 73"
3,1,1412,>2.4,Single,180000 CAD,52&54 1 Avenue SW 
2,1,1,.217,Single,55000 CAD,4302 50 Street 
2,1,12497,,Single,80000 CAD,55 AV 5032
2,1,724955,.149,Single,159900 CAD,46 AV 4608
3,2,1134,,Single,155000 CAD,"123, 99 Arbour Lake Road NW 123"
3,1,1151748,.147,Single,159900 CAD,333 White Earth ST 
2,1,712254,,Single,174900 CAD,55 AV 4915
3,2,109052,,Other,144000 CAD,3104 29 Street S 
3,2,743362,>0.1,Single,159000 CAD,11838 66 ST NW 
2,2,130901,.149,Single,198888 CAD,107 ST 10243
2,1,776,.182,Single,112900 CAD,11004 106 Avenue 
3,2,1174,0.16,Single,199000 CAD,203 Railway Avenue 
4,2,1056,0.14,Residential,192500 CAD,5121 56 Street 
3,2,1216,,Other,55000 CAD,75 Greenwood Villa 
3,3,1325,0.28,Single,190000 CAD,200 2nd Ave N.E. 
5,2,1284,0.18,Residential,184500 CAD,4902 58 Street 
3,2,149492,,Other,199900 CAD,2122 Danielle Drive 
3,2,1054,,Other,124900 CAD,2335 Danielle Drive 
4,1,1593072,2.88,Single,199900 CAD,580061 RANGE ROAD 162 NW NW 
2,1,1112,>0.2,Residential,179900 CAD,505 4 Street E 
1,1,573,0.08,Residential,58200 CAD,226 3rd Street W 
6,2,2101,.139,Single,179900 CAD,10021 106 Avenue 
3,1,761984,.167,Single,119000 CAD,107 ST 9720
4,2,1216,0.14,Residential,135900 CAD,216 6 Avenue 
2,1,64415,0.17,Residential,104900 CAD,5815 50A ave 
3,2,1155,.138,Single,174900 CAD,10408 105 Street 
3,2,815911,.217,Single,129900 CAD,43 AV 5105
2,1,796,,Single,89900 CAD,"63, 2460 Southview Drive SE 63"
3,1,1089963,.161,Single,169000 CAD,47 ST 4712
4,1,946,4.16,Residential,164900 CAD,51 Garrison Avenue 
2,2,1360,,Residential,179900 CAD,114 Alberta Avenue 
3,2,1520,,Single,168500 CAD,3006 33 Avenue S 
3,2,872099,,Single,199900 CAD,50 ST 4234
2,1,748959,.091,Single,178000 CAD,12012 76 ST NW 
3,1,1043,.193,Single,195000 CAD,10305 98 Avenue 
2,2,97308,,Single,50000 CAD,"#93, 6742 17 Avenue SE 93"
3,2,1186839,,Single,109900 CAD,2960 Lakewood DR NW 
3,2,1088,,Other,79900 CAD,2316 DANIELLE Drive 
1,1,648962,.115,Single,168000 CAD,12112 85 ST NW 
3,2,1787147,,Single,199500 CAD,103 Evergreen Cres. 
3,1,1065,,Single,79900 CAD,80 Burroughs Place NE 
3,2,114396,,Single,99900 CAD,1101 84 Street NE 
5,3,1232,.142,Single,107900 CAD,19 Hollinger Drive 
2,1,728,,Single,32500 CAD,"76, 8060 100 Street 76"
3,2,1117303,,Single,189000 CAD,13211 85 Street NW 
2,1,1137,,Single,43500 CAD,"28, 810 56 Street 28"
2,1,117855,.186,Single,79900 CAD,54 ST 4835
2,1,767043,,Single,175000 CAD,49 AV 5321
3,2,1344,,Single,45000 CAD,"108, 6026 13  Avenue 108"
5,2,1474668,,Single,189900 CAD,54 AV 4828
4,1,743792,.124,Single,184900 CAD,12024 57 ST NW 
5,2,960,.126,Single,164900 CAD,324 6 Avenue E 
4,2,1071,.149,Single,182500 CAD,629 52 Avenue W 
4,2,2243,.467,Single,189000 CAD,78 Marten Drive 
5,2,1091,>0.2,Residential,184900 CAD,5016 48 Street 
3,2,1520,,Single,124900 CAD,"52, 1712 23 Street 52"
3,2,822,0.15,Residential,179900 CAD,138 12 Street SE 
