Beds,Bath,Sqft,Lot_Size,Type,Price,Address
4,3,1214,.103,Residential,489900 CAD,4153 Alton CRESCENT 
3,3,2040,,Residential,619900 CAD,543 Bolstad Turn 
3,3,2062,3.48,Residential,418000 CAD,13.48 Acre acreage Shell Lake 
6,4,2853,9.99,Residential,899900 CAD,Dundurn Acreage 
4,3,2090,>1.1,Residential,620000 CAD,71 14th STREET 
3,2,1456,0.12,Residential,529900 CAD,1301 Elliott STREET 
9,4,1891,.157,Residential,960000 CAD,738 6th STREET E 
5,3,1211,.113,Residential,405000 CAD,2310 Herchmer STREET 
3,3,1369,,Residential,404900 CAD,419 Ells WAY 
3,1,960,0.59,Farm,649000 CAD,Tako Farm 
3,3,2563,37.1,Residential,499500 CAD,Halter Acreage 
3,2,1182,1.52,Residential,429900 CAD,109- Hwy 24 Chitek Lake 
7,6,2796,.139,Residential,899900 CAD,103 Rochelle BAY 
5,3,1488,.132,Residential,479900 CAD,33 Gillingham CRESCENT 
5,3,1616,.136,Residential,579900 CAD,10286 Wascana ESTATES 
4,3,2637,4.99,Residential,749900 CAD,Saskatoon Log Home Acreage 
4,4,1997,.124,Residential,709900 CAD,1222 Shepherd CRESCENT 
4,3,1176,.279,Residential,489900 CAD,1232 Tatanka DRIVE 
3,3,1639,,Residential,519900 CAD,918 3rd STREET E 
2,1,828,>317,Farm,598000 CAD,Krentz Farm 
5,2,1804,.213,Residential,469000 CAD,7 Broadway STREET S 
6,3,2164,,Residential,624900 CAD,159 Schevchenko Ave 
3,3,1450,0.13,Residential,434900 CAD,327 Ball CRESCENT 
3,3,2925,4.63,Residential,619900 CAD,117 Patrick DRIVE 
5,2,2370,.418,Residential,424900 CAD,773-777 Tatanka DRIVE 
6,3,1480,,Residential,429000 CAD,709 Doghide DRIVE 
5,5,3181,ng>5,Residential,849000 CAD,Prairie Lilly Lodge Acreage 
5,4,2680,.413,Residential,599999 CAD,420 Railway STREET 
3,2,2624,,Residential,429900 CAD,115 1st STREET W 
3,1,1172,4.41,Farm,2075000 CAD,"Olarie Farm - 2,064 Acres Mixed Farmland "
3,3,1883,.212,Residential,895000 CAD,8507 Kestral DRIVE 
4,4,1540,>124,Residential,495000 CAD,Fleischhacker Acreage 
5,4,2472,.152,Residential,659900 CAD,46 Hinz PLACE 
5,3,1611,,Residential,599900 CAD,319 Mahabir COURT 
4,3,1232,2.89,Residential,748000 CAD,Melfort East View Acreage 
4,3,1523,0.22,Residential,449000 CAD,611 NICHOLSON DRIVE 
5,3,1720,.198,Residential,749900 CAD,882-Dickson Road Unity Sk 
3,3,2395,.131,Residential,649000 CAD,4844 McCOMBIE CRESCENT 
3,2,1493,,Residential,449900 CAD,713 Reimer Road 
3,3,1560,.161,Residential,599900 CAD,316 Cumming AVENUE 
3,2,1808,2.32,Residential,524900 CAD,214 Deer Ridge DRIVE 
6,3,1458,0.28,Farm,416000 CAD,Potuer Home Quarter - RM 69 
3,2,2340,.355,Residential,675000 CAD,301 Sunset DRIVE 
3,3,1408,,Residential,424000 CAD,1414 4th STREET 
3,3,1620,1.15,Residential,529900 CAD,1421 1st AVENUE NW 
3,1,1680,2.16,Farm,1200000 CAD,Sturgeon River Ranch 
5,3,1214,,Residential,426999 CAD,1001 DEWDNEY STREET 
6,3,2344,13.9,Residential,659000 CAD,LENOUAIL ACREAGE 
6,4,2950,>139,Residential,899000 CAD,Spalding Acreage 
5,3,1175,,Residential,419900 CAD,3283 McClocklin ROAD 
3,3,2952,9.99,Residential,699900 CAD,708 Montgomery Street 
6,4,2902,.161,Residential,464900 CAD,4037 Hillsdale STREET 
4,3,1289,0.15,Residential,449900 CAD,14 Belmont CRESCENT 
9,3,3183,58.8,Farm,729900 CAD,Saccucci Farm 
3,2,1048,0.77,Residential,699900 CAD,Sawatsky Lakefront 10.77 Acres 
5,2,1080,.235,Residential,445900 CAD,185 Tucker CRESCENT 
5,4,2400,,Residential,429000 CAD,36 Elmwood PLACE 
4,4,1745,",125",Residential,659900 CAD,3073 Garnet STREET 
3,3,1783,,Residential,734900 CAD,1326 15th STREET E 
3,3,2297,,Residential,1698000 CAD,33-602 Cartwright Street 
5,4,4720,g>10,Residential,2100000 CAD,RM of Moose Jaw Acreage 8
5,3,1588,0.13,Residential,619900 CAD,906 Sauer CRESCENT 
3,2,1324,,Residential,479500 CAD,1421 12th STREET E 
6,6,2720,ng>5,Residential,499000 CAD,BURNS' HOUSE BED & BREAKFAST 
4,4,1572,>119,Residential,1285000 CAD,RM of Edenwold 158 
4,1,1328,16.7,Farm,620000 CAD,Charlton Farm - 317 Acres 
5,3,2202,.138,Residential,519900 CAD,538 Delaronde ROAD 
5,2,1332,4.72,Residential,435000 CAD,RM 494 Canwood - Debden/Canwood Acreage 14.72 acres 
5,3,1689,g>20,Residential,595000 CAD,Zunti Acreage 
3,2,1085,0.29,Residential,429900 CAD,124 Rumberger ROAD 
4,4,1868,,Residential,699900 CAD,426 Trimble CRESCENT 
3,3,1940,,Residential,439900 CAD,823 6th AVENUE N 
6,4,2176,,Residential,649900 CAD,143 Johns ROAD 
5,3,1610,>792,Farm,1750000 CAD,Wiebe Farm 
4,3,1567,1.95,Residential,490000 CAD,MCCORMICK ACREAGE 
3,2,1120,60.8,Farm,400000 CAD,Lightfoot Farm - 160.8 Acres 
4,2,1345,,Residential,429900 CAD,2501 Ewart AVENUE 
3,3,1329,.139,Residential,429900 CAD,2722 Jarvis DRIVE 
3,3,2001,,Residential,719900 CAD,178 Gillies Lane 
