Beds,Bath,Sqft,Price,Address,Province,Region
2.0,2.0,7704.0,178000,6385 Mtée Ryan #303 ,QC,Central Canada
5.0,1.0,100804.0,125000,22 Rue Alexis ,QC,Central Canada
2.0,1.0,100804.0,379000,3 Rue Lacroix ,QC,Central Canada
2.0,1.0,291982.0,465000,6 Ch. Edith ,QC,Central Canada
3.0,1.0,151201.0,214900,252 Av. Murdoch ,QC,Central Canada
3.0,2.0,1655.0,1325000,100 Rue du Séminaire 119,QC,Central Canada
3.0,2.0,349827.0,199900,537 Rue Champlain ,QC,Central Canada
2.0,1.0,149102.0,69000,1021 4e Avenue ,QC,Central Canada
2.0,1.0,100804.0,219000,3A Rue Lacroix ,QC,Central Canada
3.0,1.0,144818.0,449000,798 Prom. du Lac ,QC,Central Canada
3.0,2.0,266504.0,585000,1989 Ch. du Lac-Panneton ,QC,Central Canada
3.0,2.0,221209.0,395000,4191 Av. Larivière ,QC,Central Canada
2.0,2.0,448005.0,699000,58 Ch. de la Sablière ,QC,Central Canada
2.0,1.0,1255.0,494000,166 Stanton Street ,ON,Central Canada
4.0,2.0,1356.0,669000,55 Wellington Street N ,ON,Central Canada
3.0,3.0,2550.0,998888,2927 Caribou Trail ,ON,Central Canada
4.0,2.0,2450.0,549000,417 Cordingley Cres. ,ON,Central Canada
3.0,1.0,1040.0,153900,201 Birch Place ,ON,Central Canada
4.0,5.0,3400.0,2350000,5907 Second Line Road ,ON,Central Canada
2.0,2.0,860.0,489000,1101 Horseshoe Valley Rd W Edge Horseshoe Condos Resort ,ON,Central Canada
3.0,1.0,1185.0,1300000,117 Tremaine Road ,ON,Central Canada
3.0,3.0,1778.0,1295000,1990 Skead Road ,ON,Central Canada
3.0,2.0,1637.0,649900,131 Albert Street ,ON,Central Canada
4.0,3.0,1879.0,799900,277 Bennett ,ON,Central Canada
7.0,2.0,2454.0,849500,1463 Tiny Beaches Road North ,ON,Central Canada
6.0,5.0,3621.0,1999000,7171 2 Concession Road ,ON,Central Canada
5.0,3.0,3000.0,2995000,10 Sandy Cove ,ON,Central Canada
2.0,1.0,577.0,450000,34 BEACHAVEN Drive ,ON,Central Canada
3.0,2.0,1430.0,629900,1 MOHAWK Line ,ON,Central Canada
4.0,1.0,1200.0,259900,54 MILL STREET West ,ON,Central Canada
2.0,1.0,660.0,139900,1070 Lakeshore Road ,ON,Central Canada
1.0,1.0,1920.0,1100000,125 Port Maitland Road ,ON,Central Canada
2.0,1.0,980.0,299000,7324 RAINHAM Road ,ON,Central Canada
2.0,1.0,804.0,87000,58 Pine 79681 Bluewater Highway ,ON,Central Canada
2.0,1.0,407.0,49900,2 Maple 79681 Bluewater Highway ,ON,Central Canada
4.0,3.0,3260.0,2499000,10 AZALEA Court ,ON,Central Canada
3.0,3.0,1895.0,999000,275 RIDGE Road S ,ON,Central Canada
2.0,1.0,876.0,449000,45 DRUMMOND Street ,ON,Central Canada
3.0,3.0,1800.0,849900,87 Prior Lane ,ON,Central Canada
2.0,1.0,1420.0,399900,118 Birch Ave  ,MB,Prairie Provinces
3.0,3.0,1320.0,159000,60 Limit Street ,MB,Prairie Provinces
3.0,1.0,1424.0,100000,135 Boundary Street ,MB,Prairie Provinces
2.0,2.0,960.0,179900,3146 3 Road NE ,MB,Prairie Provinces
2.0,1.0,980.0,109000,36 Springwood Drive ,MB,Prairie Provinces
2.0,2.0,1704.0,269900,16 McGregor Avenue ,MB,Prairie Provinces
5.0,2.0,1025.0,319000,372 Burrin Avenue ,MB,Prairie Provinces
2.0,2.0,1077.0,379900,15 Verna's Way ,MB,Prairie Provinces
4.0,3.0,2200.0,1049900,419 1st Avenue ,MB,Prairie Provinces
3.0,1.0,1311.0,79000,371 Magnus Avenue ,MB,Prairie Provinces
3.0,2.0,1500.0,44900,109 3rd Street ,MB,Prairie Provinces
1.0,1.0,767.0,42000,147 7th Street ,MB,Prairie Provinces
6.0,1.0,1660.0,1395000,1 Island 1 Landing ,MB,Prairie Provinces
2.0,1.0,875.0,89900,277 River Road ,MB,Prairie Provinces
4.0,2.0,1390.0,550000,31 Boyne Crescent ,MB,Prairie Provinces
3.0,2.0,1010.0,199999,370 Ottawa Avenue E ,MB,Prairie Provinces
3.0,1.0,1220.0,128880,409 Main Street S ,MB,Prairie Provinces
3.0,2.0,1717.0,126500,175 Maple Street N ,MB,Prairie Provinces
3.0,1.0,1096.0,174900,664 Ross Avenue ,MB,Prairie Provinces
3.0,1.0,1285.0,85000,280 2nd Avenue ,MB,Prairie Provinces
2.0,2.0,810.0,98000,145 MULVEY Street E ,MB,Prairie Provinces
3.0,1.0,800.0,165000,69 Blacks Point Road ,MB,Prairie Provinces
4.0,2.0,3715.0,899900,186 Bridgeview Dr ,MB,Prairie Provinces
3.0,3.0,1100.0,129900,54 Lokier Street N ,MB,Prairie Provinces
6.0,2.0,1605.0,359900,1445 Winnipeg Avenue ,MB,Prairie Provinces
1.0,1.0,700.0,190000,1101 7th Street ,MB,Prairie Provinces
3.0,2.0,1740.0,299900,75 Hespeler Avenue ,MB,Prairie Provinces
2.0,1.0,1057.0,98000,204 MCMILLAN Street W ,MB,Prairie Provinces
