Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,2,1206,,Residential,354900 CAD,216 Viewpointe Terrace 
5,2,1168,>0.1,Residential,315900 CAD,72 Aberdeen Road W 
3,2,1253,,Residential,310000 CAD,359 Boutin Ave 
3,1,1029,,Residential,359000 CAD,2408 39 Street SE 
3,3,1695,,Residential,338900 CAD,4209-55 ave 
3,3,,,Residential,315000 CAD,393 Simmonds Way 
2,1,1372,,Residential,379500 CAD,4354 Highway 27 
5,2,1520,,Residential,399500 CAD,215 Terra Nova Cres 
4,2,1090,,Residential,379900 CAD,9519 87 St NW 
4,2,1191,,Residential,300000 CAD,5713-43a street 
3,2,1280,,Residential,314900 CAD,5012 52 Street 
4,3,1215,,Residential,369900 CAD,610 21 Avenue 
5,2,1074,0.69,Residential,309900 CAD,5308 54 Avenue 
6,4,2077,,Residential,399900 CAD,4811 53A Street 
2,2,980,,Residential,359900 CAD,823 Royal Ave SW 
4,2,177788,5.07,Residential,356990 CAD,5417 40 Street 
3,2,1424,0.25,Residential,369900 CAD,11002 103 Street 
4,3,1874,0.25,Residential,320000 CAD,1611 22 Avenue 
5,3,1272,.109,Single,375000 CAD,11 Bedwood Place NE 
4,3,1212026,,Single,399000 CAD,24 AV 2811
4,3,1091,>0.1,Residential,335000 CAD,14 Cascade Street 
4,3,1301691,.151,Single,372000 CAD,46 FOREST DR 
4,3,1207,.141,Single,365000 CAD,83 Poplar Drive 
4,2,1550,.391,Single,308900 CAD,4704 55 AVENUE 
3,3,1564009,.087,Single,369000 CAD,21348 90 AV NW 
5,3,1339,0.15,Residential,389900 CAD,327 Redcliff Way SW 
4,3,1198571,.114,Single,359000 CAD,18920 86 AV NW 
3,3,1686719,.079,Single,399900 CAD,2227 74 ST SW SW 
3,3,1902214,,Single,398000 CAD,38 AV 5218
5,3,105498,.152,Single,399500 CAD,8 SPRINGFIELD CR 
3,2,109696,.101,Single,339888 CAD,86 Dovercliffe Close SE 
3,2,967576,.135,Single,305000 CAD,13539 120 ST NW 
3,2,1579509,.091,Single,349900 CAD,11738 96 ST NW 
4,3,1155,.067,Single,399900 CAD,131 Saddlemont Crescent NE 
5,3,1026,.139,Single,319900 CAD,928 Ross Glen Drive SE 
5,3,105561,.116,Single,400000 CAD,1008 Pensdale Crescent SE 
4,3,1381,.169,Single,309000 CAD,11325 110 Avenue Crescent 
3,3,1143998,0.16,Single,300000 CAD,21 UMBACH RD 
4,2,1008,.085,Single,334900 CAD,28 Pinnacle Boulevard 
5,3,124012,.103,Single,399900 CAD,1194 JOYCE RD NW 
4,3,1415466,.082,Single,349900 CAD,1510 JARVIS CR NW 
3,4,1576,.112,Single,319900 CAD,30 Juniper Close 
4,3,1092654,,Single,399900 CAD,95 ST 9500
3,2,1264985,.084,Single,334900 CAD,17339 91 ST NW 
3,3,1418588,.161,Single,399900 CAD,11228 48 AV NW 
4,1,1054872,.095,Single,329000 CAD,11246 70 ST NW 
4,2,933239,.162,Single,350000 CAD,13212 SHERBROOKE AV NW 
4,3,1276,0.19,Residential,350000 CAD,100 Haliburton Crescent 
4,3,1947,.101,Single,395000 CAD,4732 60 Street NE 
3,1,808,.117,Single,399000 CAD,4603 Greenview Drive NE 
4,4,1904905,,Single,339900 CAD,52 ST 4828
6,3,1304,0.12,Residential,350000 CAD,44 Iron Wolf Boulevard 
3,2,120981,0.17,Residential,394900 CAD,3828 Eastwood Crescent 
4,2,1004,0.16,Residential,315000 CAD,62 Whitecap Close 
3,3,1264,.219,Single,389900 CAD,6906 5A Avenue 
4,2,1085,0.12,Residential,355000 CAD,308 Lindsay Avenue 
4,2,1067,.106,Single,389500 CAD,938 Allen Street SE 
4,2,1106,0.17,Residential,310000 CAD,49 Northstar Drive 
4,2,1138831,.126,Single,360000 CAD,21 ASPENGLEN PL 
4,3,1120,0.11,Residential,355000 CAD,5906 44 Avenue 
4,3,1244318,.191,Single,313900 CAD,3228 145 AV NW 
5,3,2473,0.25,Residential,379900 CAD,83 Nyman Crescent 
3,3,1168755,0.08,Single,378000 CAD,922 116A ST NW 
5,2,1174352,.129,Single,389900 CAD,51 DORIAN WY 
2,3,1444636,.078,Single,369900 CAD,1119 CHAPPELLE BV SW 
4,3,1090393,0.12,Single,379999 CAD,1 WELLS CO 
4,2,1222,,Single,349000 CAD,5004 61 AvenueClose 
2,1,1540005,>0.6,Single,359000 CAD,53102 RGE RD 40 101
3,2,1012,.101,Single,312500 CAD,8926 70 Avenue 
3,1,1099,.189,Single,305000 CAD,1895 63 Street 
2,3,1178,,Residential,305000 CAD,232 Walden Circle SE 
4,3,1157,0.18,Residential,349000 CAD,9129 128 Avenue 
4,2,1223,.145,Single,334900 CAD,83 Cunliffe Crescent SE 
5,2,1037219,,Single,359900 CAD,12119 53 st NW 
2,1,1014,.093,Single,369900 CAD,33 Country Hills Drive NW 
4,3,1199971,.138,Single,309900 CAD,5412 142A AV NW 
4,3,1156484,.145,Single,339000 CAD,7108 152A AV NW 
2,1,879849,.359,Single,325000 CAD,2101 HIGHWAY ST 
4,2,905,0.09,Residential,309900 CAD,89 Lister Crescent 
3,3,1498,.068,Single,344987 CAD,23 Woodglen Crescent SW 
5,3,1331507,.151,Single,379900 CAD,10928 40 AV NW 
4,3,1312,0.15,Residential,309900 CAD,6010 57 Avenue 
3,2,106908,,Single,359888 CAD,6708 22 AV NW NW 
