Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,2,"1,334",NaN,Residential,"$369,900 CAD",53 Perry Crescent 
3,1,"1,224",NaN,Residential,"$139,000 CAD",152 Cordova Street 
4,2,"2,470",NaN,Residential,"$699,000 CAD",8 Fort Point Road 
1,1,"1,300",.689,Residential,"$350,000 CAD",Unit 5 - 11 Beach View Lane 
2,1,926,NaN,Residential,"$384,500 CAD",2930 Malagash Road 
4,2,"1,938",1.07,Residential,"$199,000 CAD",193 Shore Road 
5,2,"2,500",NaN,Residential,"$229,000 CAD",1865 308 Highway 
5,1,"1,829",>7.9,Residential,"$355,000 CAD",1320  Highway 1 Church Point 
3,2,"2,452",.232,Residential,"$529,900 CAD",19 Bobolink St 
4,2,"2,100",.322,Residential,"$429,000 CAD",5429 Granville road 
3,1,"1,488",NaN,Residential,"$335,000 CAD",1037 East Uniacke Road 
4,3,"2,706",NaN,Residential,"$799,000 CAD","8 Sailboat Lane, Halifax, NS. B4A 3Z5 "
2,2,"1,190",NaN,Residential,"$179,900 CAD",1235 Highway 335 
3,3,"4,500",NaN,Residential,"$579,000 CAD",204 Highway 1 Dayton 
3,2,"1,700",NaN,Residential,"$249,000 CAD",346 MacCormack Road 
3,2,"1,535",NaN,Residential,"$399,900 CAD",389 Deep Brook Highway 1 
2,1,672,ng>3,Residential,"$330,000 CAD",0 0 Cole Harbour Village Road 
3,1,"1,247",1.08,Residential,"$285,000 CAD","3245 2nd Division Road, Concession "
5,1,"1,336",NaN,Residential,"$159,000 CAD",478 Shore Road 
2,2,"1,750",.408,Residential,"$460,000 CAD",4 Hardwood Hill Lane 
2,1,"1,050",5.39,Residential,"$225,000 CAD",59 Georges Road 
3,3,"3,129",1.26,Residential,"$980,000 CAD",86 Freddies Lane 
NaN,NaN,NaN,g>16,Residential,"$59,900 CAD",HWY 8 & Fisher Lake Rd 
5,2,"2,200",NaN,Residential,"$659,000 CAD",476 Canoe Island Road 
6,5,"4,012",NaN,Residential,"$495,000 CAD",147 Highway 8 
3,1,"2,760",0.84,Residential,"$425,000 CAD",26 Main Street 
4,3,"2,052",NaN,Residential,"$375,000 CAD",1166 Chebogue Road 
2,1,826,.604,Residential,"$169,000 CAD",121 Mount Pleasant Road 
6,4,"3,040",NaN,Residential,"$475,000 CAD",69/69A Celtic Drive 
