Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
9.0,9.0,3400.0,995000.0,1817 highway 205|baddeck ,NS,Atlantic region,,,NaN
3.0,3.0,2547.0,434000.0,217 highway 9461,NS,Atlantic region,,,NaN
3.0,2.0,1795.0,399000.0,101 highway 6860,NS,Atlantic region,,,NaN
4.0,4.0,2746.0,699900.0,67 goldthread lane ,NS,Atlantic region,,,NaN
3.0,2.0,1695.0,599900.0,215 highway 6878,NS,Atlantic region,,,NaN
3.0,2.0,1985.0,503100.0,site 5 6004 trunk 1 highway ,NS,Atlantic region,,,NaN
3.0,1.0,928.0,134900.0,316 highway 959,NS,Atlantic region,,,NaN
3.0,4.0,2666.0,899000.0,lot 5 sugarwood court ,NS,Atlantic region,,,NaN
4.0,3.0,2042.0,494900.0,lot 8 cornerstone drive lot 8,NS,Atlantic region,,,NaN
3.0,3.0,2357.0,599900.0,lot 218a 89 sidhu drive lot 218a,NS,Atlantic region,,,NaN
4.0,3.0,2386.0,579920.0,114 wright lake run|lot 8085,NS,Atlantic region,,,NaN
5.0,1.0,1541.0,247000.0,3 highway 6754,NS,Atlantic region,,,NaN
3.0,2.0,1499.0,465050.0,6004 trunk 1 highway 4,NS,Atlantic region,,,NaN
3.0,1.0,1247.0,285000.0,3245 2nd division road ,NS,Atlantic region,,,NaN
3.0,4.0,2561.0,1552500.0,41 0 harbourside drive 41,NS,Atlantic region,,,NaN
4.0,3.0,3788.0,1399000.0,16 sunset lane|pringle lake ,NS,Atlantic region,,,NaN
3.0,3.0,2462.0,649900.0,lot 2 cottontail lane ,NS,Atlantic region,,,NaN
2.0,2.0,1900.0,485000.0,lot 3 147 across the meadow road ,NS,Atlantic region,,,NaN
3.0,2.0,1040.0,374000.0,lot 2 old guysborough road ,NS,Atlantic region,,,NaN
3.0,3.0,2492.0,599900.0,223 highway 490,NS,Atlantic region,,,NaN
3.0,3.0,3533.0,681900.0,lot 212a 181 sidhu drive ,NS,Atlantic region,,,NaN
