Beds,Bath,Sqft,Lot_Size,Type,Price,Address
2,2,"2,436",1.22,Residential,"$389,000 CAD",9012 Pepperell Street 
4,1,"1,181",NaN,Residential,"$159,900 CAD",160 MacDonald Road 
2,1,926,NaN,Residential,"$384,500 CAD",2930 Malagash Road 
3,2,"1,080",>0.7,Residential,"$367,885 CAD",54 Heritage Way 54
4,3,"5,700",NaN,Residential,"$429,000 CAD",75 Terra Nova Road 
2,1,"1,070",13.6,Residential,"$950,000 CAD",284 Millers Road 
2,1,675,NaN,Residential,"$99,900 CAD",5 Hillside Drive 
2,1,893,NaN,Residential,"$189,900 CAD",14 Middle Street 
4,1,"1,560",NaN,Residential,"$269,900 CAD",14 Lewis Lane 
3,1,"1,566",.195,Residential,"$279,000 CAD",32 Union Street 
3,2,"1,300",NaN,Residential,"$525,000 CAD",78 Cranberry Head Road 
5,3,"3,362",>5.5,Residential,"$853,000 CAD",122 Peter Sosna Drive 
3,1,"1,652",NaN,Residential,"$349,900 CAD",46 Haughn's Road 
4,2,"2,470",NaN,Residential,"$699,000 CAD",8 Fort Point Road 
NaN,NaN,NaN,NaN,Residential,"$175,000 CAD",1514 Eastern Shore Rd. 
4,2,"2,652",NaN,Residential,"$269,900 CAD",4 Gilroy Street 
2,1,"1,144",NaN,Residential,"$249,900 CAD",2369 Highway 1 Grosses Coques 
1,1,"1,300",.689,Residential,"$350,000 CAD",Unit 5 - 11 Beach View Lane 
4,7,"7,252",NaN,Residential,"$1,599,900 CAD",3223 HWY 376 
3,3,"1,456",NaN,Residential,"$359,000 CAD",1599 Lake Road 
2,1,672,NaN,Residential,"$114,900 CAD",573 Old Debert Road 
6,6,"4,500",NaN,Residential,"$999,900 CAD",197 Baseline Road 
4,3,"2,654",NaN,Residential,"$563,000 CAD",8981 Highway 331 
4,1,870,NaN,Residential,"$165,000 CAD",727 C BOUDREAU Road 
4,3,"2,457",1.41,Residential,"$449,000 CAD",1649 Highway 10 
6,5,"4,012",>1.8,Residential,"$495,000 CAD",147 Highway 8 
4,2,"2,100",.322,Residential,"$429,000 CAD",5429 Granville road 
2,1,850,NaN,Residential,"$169,900 CAD",22 Winston Avenue 
3,4,"4,900",ng>6,Residential,"$1,485,000 CAD",1852 Gospel Road 
5,3,"3,426",NaN,Residential,"$850,000 CAD",274 Harrington Road 
3,1,"1,488",NaN,Residential,"$335,000 CAD",1037 East Uniacke Road 
5,2,"1,732",NaN,Residential,"$699,000 CAD",160 Doris Lane 
3,1,"1,235",NaN,Residential,"$129,900 CAD",15 ROGERS Road 
2,2,"1,240",NaN,Residential,"$849,000 CAD",555 Green Bay Road 
2,2,"1,650",NaN,Residential,"$599,000 CAD",2774 Highway 331 
4,4,"2,048",ng>2,Residential,"$750,000 CAD",94 Clearland Road 
2,1,600,NaN,Residential,"$249,900 CAD",44 Old Black River Road 
4,3,"2,102",NaN,Residential,"$475,000 CAD",3393 Main Shore Road 
1,2,"2,100",.146,Residential,"$190,000 CAD",1870 Clementsvale Road 
5,2,"3,860",.925,Residential,"$549,000 CAD",5009 HWY 1 
2,1,708,NaN,Residential,"$239,000 CAD",71 Little Liscomb Road 
3,2,"1,400",6.32,Residential,"$264,000 CAD",210 Highway 1 
3,3,"2,049",0.33,Residential,"$480,000 CAD",847 Baddeck Bay Road 
4,1,"1,280",.819,Residential,"$110,000 CAD","367 Marc Comeau Road, St Benoni "
5,3,"1,960",1.31,Residential,"$169,000 CAD",2135 Highway 247 
3,2,"1,535",NaN,Residential,"$399,900 CAD",389 Deep Brook Highway 1 
3,1,"1,652",0.89,Residential,"$349,900 CAD",46 Haughn's Road 
3,2,"1,800",NaN,Residential,"$439,000 CAD",503 Highway 1 
4,3,"2,706",NaN,Residential,"$799,000 CAD","8 Sailboat Lane, Halifax, NS. B4A 3Z5 "
4,2,"2,784",1.75,Residential,"$475,000 CAD",835 Steadman Road 
3,3,"2,600",>0.3,Residential,"$725,000 CAD",10 B Deer Haven Drive 
3,1,"1,073",.622,Residential,"$199,000 CAD",31 College Street 
