Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
1.0,1.0,,,Residential,165000 CAD,59 Delamere Rd ,ON,Central
2.0,2.0,,,Residential,329900 CAD,6710 JEANNE D'ARC BLVD N ,ON,Central
10.0,5.0,,,Single,345000 CAD,76 SETTERINGTON ST ,ON,Central
3.0,2.0,,,Single,339900 CAD,440 YVES STREET ,ON,Central
3.0,1.0,1060.0,,Residential,449900 CAD,114 Warren Avenue ,ON,Central
1.0,1.0,,,Residential,350000 CAD,2785 Baseline Rd ,ON,Central
3.0,1.0,,,Single,399900 CAD,236 JOHN Street ,ON,Central
4.0,1.0,,,Single,399900 CAD,16 MATILDA Street ,ON,Central
2.0,1.0,,,Single,499900 CAD,37 LEVERGOOD ROAD ,ON,Central
3.0,2.0,,,Single,399900 CAD,44 Stone AVENUE ,ON,Central
3.0,2.0,1485.0,,Single,499900 CAD,268 ROBINSON ,ON,Central
2.0,1.0,,,Single,249900 CAD,9 MOUNT PLEASANT Avenue ,ON,Central
3.0,2.0,,,Single,299900 CAD,1370 Hall ,ON,Central
3.0,2.0,,,Single,249900 CAD,12 WHITE ,ON,Central
3.0,2.0,1570.0,,Residential,495000 CAD,4 Fife Street ,ON,Central
2.0,1.0,,,Single,124900 CAD,6170 A LIN ,ON,Central
3.0,1.0,,,Single,199900 CAD,415 South STREET ,ON,Central
3.0,2.0,,,Single,479900 CAD,336 KATHARINE Street ,ON,Central
2.0,2.0,1711.0,,Residential,469900 CAD,36 WILMOT Street S ,ON,Central
2.0,2.0,,,Residential,499900 CAD,363 Mathew St ,ON,Central
3.0,2.0,,,Single,489900 CAD,62 KIDD Drive ,ON,Central
5.0,2.0,,,Single,361000 CAD,3654 CHAMPLAIN STREET UNIT#A&B ,ON,Central
4.0,2.0,,,Single,499900 CAD,12539 LITTLE RIVER ,ON,Central
4.0,1.0,,,Single,399900 CAD,4010 HAMILTON Road ,ON,Central
3.0,1.0,,,Single,250000 CAD,48 Cote ,ON,Central
3.0,2.0,,,Single,324900 CAD,15 HARRIS STREET ,ON,Central
3.0,2.0,1200.0,,Single,399900 CAD,156 VERMONT ,ON,Central
3.0,1.0,,,Single,399900 CAD,51017 RON MCNEIL Line ,ON,Central
3.0,1.0,,,Single,249900 CAD,218 FRANKLIN ST S ,ON,Central
3.0,2.0,800.0,,Single,499900 CAD,88 WENDOVER Drive ,ON,Central
3.0,2.0,,,Single,379900 CAD,14254 CONCESSION 1-2 ROAD ,ON,Central
5.0,3.0,,,Single,499900 CAD,428 ELMSTEAD ROAD ,ON,Central
2.0,1.0,,,Single,134900 CAD,30 Curran DR ,ON,Central
3.0,1.0,,,Single,399900 CAD,225 BRIEN West ,ON,Central
2.0,2.0,,,Single,459900 CAD,324 MILL Street ,ON,Central
4.0,2.0,,,Single,449900 CAD,106 CHIPPEWA Avenue ,ON,Central
2.0,1.0,,,Single,309900 CAD,188 SUNNING HILLS DRIVE ,ON,Central
4.0,1.0,,,Residential,499000 CAD,12708 McLARTY Line ,ON,Central
3.0,2.0,,,Single,475000 CAD,7004 MARGARET Street ,ON,Central
2.0,3.0,,,Single,399900 CAD,289 EVEREST PRIVATE UNIT D,ON,Central
4.0,1.0,,,Single,399900 CAD,375 GREENLANE ROAD ,ON,Central
3.0,1.0,1300.0,,Residential,489777 CAD,687 Victoria St ,ON,Central
2.0,1.0,,ng>1,Single,465000 CAD,28 Highway 27430,ON,Central
4.0,2.0,,,Single,449900 CAD,3241 CLEMENCEAU BOULEVARD ,ON,Central
3.0,2.0,,,Single,159900 CAD,16B London Crescent ,ON,Central
4.0,2.0,,0.27,Residential,429900 CAD,"69 St. Lawrence St., ",ON,Central
4.0,2.0,,,Single,299900 CAD,1007 ELM ,ON,Central
3.0,2.0,,,Single,309000 CAD,17 BRANDON Street ,ON,Central
8.0,4.0,,,Single,499900 CAD,606 ROSEDALE AVENUE ,ON,Central
4.0,1.0,,,Single,225000 CAD,370 Pine Street ,ON,Central
3.0,2.0,,,Single,429900 CAD,1677 VICTORIA AVENUE ,ON,Central
2.0,1.0,,,Single,189900 CAD,501 Superior Street ,ON,Central
1.0,1.0,,,Single,220000 CAD,150 PARK Street ,ON,Central
1.0,1.0,638.0,,Residential,449900 CAD,181 King Street S Unit #709 ,ON,Central
3.0,1.0,,,Single,499900 CAD,225 GENEVA ST ,ON,Central
3.0,2.0,,1.52,Single,399000 CAD,317 JIM BARR ROAD ,ON,Central
4.0,2.0,,,Single,499900 CAD,209 ST DENIS STREET ,ON,Central
2.0,1.0,,,Residential,399998 CAD,137549 Concession 7 Rd ,ON,Central
3.0,1.0,,,Single,299900 CAD,7862 HOWARD ,ON,Central
3.0,1.0,,,Single,189000 CAD,214 Lacroix STREET ,ON,Central
5.0,2.0,,,Single,399900 CAD,10640 Halstead ,ON,Central
2.0,2.0,,,Single,424900 CAD,149 MEADOWVIEW ,ON,Central
2.0,1.0,,,Single,174900 CAD,13 CRESENT Street Unit# 1170 A ,ON,Central
3.0,2.0,1540.0,,Residential,349900 CAD,3017 BRIMLEY Drive ,ON,Central
3.0,3.0,,,Residential,399900 CAD,3400 PAUL ANKA Drive #65 ,ON,Central
6.0,2.0,,,Single,359000 CAD,137 NORWAY Street ,ON,Central
4.0,2.0,,,Single,449900 CAD,78 APELDOORN CRES ,ON,Central
2.0,1.0,,,Single,249900 CAD,623 VIMY AVENUE ,ON,Central
2.0,1.0,,,Single,124900 CAD,40201 VANASTRA Road ,ON,Central
3.0,1.0,,,Single,259900 CAD,9 CEDAR CRESCENT ,ON,Central
2.0,1.0,,,Single,219900 CAD,396 MITTON STREET South ,ON,Central
4.0,2.0,,,Single,399900 CAD,2345 ELSMERE ,ON,Central
3.0,2.0,,,Single,499900 CAD,3567 Baseline ROAD ,ON,Central
1.0,1.0,,,Single,249900 CAD,12 PARK Street W ,ON,Central
3.0,2.0,,,Single,399900 CAD,56 PARKVIEW  RD ,ON,Central
3.0,2.0,,,Single,399900 CAD,2832 CLEMENCEAU ,ON,Central
2.0,1.0,,,Single,399900 CAD,322 EMERICK Avenue ,ON,Central
2.0,1.0,991.0,,Residential,349900 CAD,72 HARMONY Avenue ,ON,Central
3.0,2.0,,0.23,Single,439900 CAD,91 FIRST Avenue ,ON,Central
2.0,2.0,,,Single,449900 CAD,444 VIA VERONA AVENUE UNIT C,ON,Central
2.0,1.0,,ng>1,Single,390000 CAD,816 CHARLOTTEVILLE 8 Road ,ON,Central
3.0,1.0,,,Single,229900 CAD,85 ELLIOTT ,ON,Central
3.0,1.0,,,Single,339900 CAD,1258 LINCOLN ,ON,Central
3.0,2.0,,,Single,499900 CAD,24 ROBERT ROAD ,ON,Central
3.0,1.0,800.0,,Residential,499900 CAD,74 WILCOX Drive ,ON,Central
2.0,1.0,,,Single,214900 CAD,1919 Mountdale AVE ,ON,Central
3.0,2.0,,,Single,439900 CAD,16 GREENWOOD Road ,ON,Central
2.0,1.0,,,Single,199000 CAD,3525 QUEEN STREET ,ON,Central
2.0,2.0,,,Single,445900 CAD,12 ROSAMOND Crescent ,ON,Central
3.0,2.0,,,Single,259900 CAD,565 Lamminen AVE ,ON,Central
3.0,1.0,,,Single,199900 CAD,2329 ELSMERE ,ON,Central
3.0,1.0,,.578,Single,380000 CAD,7681 OAK POINT Road ,ON,Central
5.0,4.0,,,Single,439900 CAD,6877 HARBOUR STREET ,ON,Central
2.0,2.0,,,Single,400000 CAD,30 ANN Street Unit 15,ON,Central
2.0,2.0,,,Single,474900 CAD,276 KINGHAVEN CRESCENT ,ON,Central
5.0,4.0,,1.38,Single,499888 CAD,9166 COUNTY ROAD 6 ROAD ,ON,Central
2.0,2.0,,,Single,499999 CAD,475 HARRIET Street ,ON,Central
3.0,2.0,,,Single,499900 CAD,419 ROBINS POINT  RD ,ON,Central
3.0,2.0,1517.0,,Single,499900 CAD,132 CAVELL Avenue ,ON,Central
4.0,2.0,,,Single,449900 CAD,447 JOSEPH STREET ,ON,Central
3.0,2.0,,.406,Single,279900 CAD,24 GORDON Street E ,ON,Central
3.0,2.0,,,Single,219900 CAD,426 ALGOMA ST N ,ON,Central
3.0,1.0,,,Single,399000 CAD,184 EAST Street ,ON,Central
3.0,2.0,,g>10,Single,339900 CAD,105 CLOUD LAKE RD ,ON,Central
2.0,1.0,,,Single,399900 CAD,11 DOVER LANE ,ON,Central
2.0,2.0,,,Single,124900 CAD,484 Laurier AVE ,ON,Central
3.0,2.0,,,Single,419500 CAD,131 VIRGINIA Street ,ON,Central
3.0,2.0,,,Single,499900 CAD,1289 SEAFORTH Crescent ,ON,Central
2.0,1.0,1000.0,,Residential,349000 CAD,"26 Lakeshore Rd, Marmora Ontario ",ON,Central
1.0,1.0,,,Residential,85000 CAD,33 WILDER S ,ON,Central
3.0,2.0,,,Residential,379900 CAD,276 Victoria Avenue ,ON,Central
3.0,2.0,1134.0,,Residential,245000 CAD,138 Willow Place ,ON,Central
5.0,2.0,1115.0,,Residential,489900 CAD,1102 Woodbine Ave ,ON,Central
,,,,Residential,279900 CAD,"witlock, lasalle ",ON,Central
3.0,1.0,,,Residential,285000 CAD,37 Edward St. ,ON,Central
3.0,1.0,,,Residential,204900 CAD,18246 Erie Shore ,ON,Central
3.0,2.0,,,Residential,349900 CAD,120 PATTESON Avenue ,ON,Central
3.0,1.0,,,Other,30000 CAD,4065 Huron Church ,ON,Central
3.0,2.0,,,Residential,499900 CAD,29 Church St ,ON,Central
1.0,2.0,700.0,,Residential,499900 CAD,80 Absolute Ave ,ON,Central
2.0,,480.0,1.67,Other,74000 USD,12 Kapkichi Lake ,ON,Central
3.0,2.0,1100.0,,Residential,385000 CAD,11 Warbler Lane ,ON,Central
2.0,1.0,825.0,0.48,Residential,298000 CAD,430 Oak Point Rd ,ON,Central
,,,,Residential,418900 CAD,MISSISSAUGA-ON// M CITY CONDO// UNITS AVAILABLE WITH EXTENDED DEPOSIT STRUCTURE// GREAT INVESTMENT ,ON,Central
3.0,2.0,,,Residential,319900 CAD,23D Forester Cr ,ON,Central
3.0,1.0,960.0,,Residential,124900 CAD,166 Balsam Place ,ON,Central
2.0,1.0,1100.0,,Residential,299900 CAD,505 St Laurent Blvd. ,ON,Central
3.0,1.0,1248.0,,Residential,120000 CAD,416 Colley Street ,ON,Central
,,,,Residential,359900 CAD,49 SOG-JE-WA-SA Drive ,ON,Central
2.0,2.0,1047.0,,Residential,420000 CAD,501-685 Woolwich Street ,ON,Central
4.0,2.0,,,Residential,499900 CAD,3721 Prud'homme ,ON,Central
2.0,1.0,,,Residential,399900 CAD,3733 MARCIL ROAD ,ON,Central
3.0,1.0,988.0,,Residential,130000 CAD,300 Rand Street ,ON,Central
3.0,1.0,1415.0,,Residential,489900 CAD,499 Elizabeth Street ,ON,Central
3.0,1.0,,,Residential,449900 CAD,345 Talbot Street East ,ON,Central
5.0,2.0,,,Residential,489900 CAD,107 Noik Drive ,ON,Central
,,,3.09,Residential,317000 CAD,58 Myles Drive ,ON,Central
,,,,Residential,249900 CAD,7771 LAWRENCE ST.  ,ON,Central
2.0,1.0,792.0,,Residential,75000 CAD,248 Davies Street ,ON,Central
1.0,1.0,,,Residential,399000 CAD,101 Subway Cres ,ON,Central
4.0,3.0,,,Residential,345000 CAD,1873 Dalkeith Rd ,ON,Central
3.0,1.0,1160.0,,Residential,469900 CAD,22 Hurron St ,ON,Central
2.0,2.0,,,Residential,499900 CAD,306 Gotham Private ,ON,Central
4.0,1.0,,,Residential,499900 CAD,374 Mitchell Ave ,ON,Central
,,,,Residential,199000 CAD,896 ELMSMERE RD #9 ,ON,Central
1.0,1.0,665.0,,Residential,489900 CAD,40 Esplanade Lane* ,ON,Central
3.0,1.0,,8.09,Residential,480000 CAD,491 Lac George Rd ,ON,Central
3.0,2.0,,,Residential,499900 CAD,27 Oatley Crt ,ON,Central
1.0,1.0,500.0,,Residential,479000 CAD,4198 Dundas St W ,ON,Central
,,,,Residential,329900 CAD,900 Dynes ,ON,Central
,,,,Residential,400000 CAD,TORONTO- PRIME CONDO for Sale in The Heart of DownTown for Sale // Very Competitive Price ,ON,Central
,,,,Residential,400000 CAD,TORONTO-ON// The Manderley Condos Starting from High 400K (38% cheaper than DownTown Price). ,ON,Central
3.0,1.0,,,Residential,249900 CAD,811 Langlois ,ON,Central
2.0,1.0,,,Residential,389000 CAD,68 Victoria Street ,ON,Central
4.0,3.0,,,Residential,499900 CAD,432 Bloor Street East ,ON,Central
2.0,1.0,,,Residential,489900 CAD,13 Clyde St. ,ON,Central
,,,,Residential,499900 CAD,2427 SOUTHVALE CRESCENT ,ON,Central
3.0,2.0,1476.0,,Residential,489900 CAD,30 Ashton Drive ,ON,Central
3.0,1.0,,,Residential,450000 CAD,886 Monck Rd ,ON,Central
,,,,Residential,227000 CAD,2020 JASMINE CRESCENT ,ON,Central
4.0,2.0,,,Residential,499900 CAD,4682 Sassafras ,ON,Central
2.0,2.0,,,Residential,498880 CAD,20 Mallard Walk ,ON,Central
,,,,Residential,439000 CAD,12 Main Street ,ON,Central
1.0,1.0,,,Residential,499000 CAD,75 Queens Wharf Rd ,ON,Central
2.0,2.0,1240.0,,Residential,299900 CAD,1256 County Road 64 ,ON,Central
4.0,1.0,1200.0,,Residential,199900 CAD,58 Carraway Cres ,ON,Central
2.0,3.0,1790.0,0.18,Residential,479900 CAD,357 Russell Street ,ON,Central
,,,,Other,55000 CAD,7318 Highway 26 ,ON,Central
1.0,1.0,,,Residential,388900 CAD,1103-201 Parkdale Ave ,ON,Central
,,,,Residential,299000 CAD,3275 SWALE RD ,ON,Central
,,,,Residential,500000 CAD,BeauSoleil Condos ,ON,Central
2.0,2.0,,,Residential,389900 CAD,2 - 100 Prestige Circle ,ON,Central
2.0,2.0,,,Residential,299900 CAD,307-1589 St. Bernard ,ON,Central
2.0,2.0,,,Residential,478000 CAD,49 Jardin Private ,ON,Central
3.0,2.0,,,Residential,499900 CAD,No address available ,ON,Central
1.0,1.0,600.0,,Residential,459000 CAD,50 Absolute ave ,ON,Central
3.0,2.0,,,Residential,499000 CAD,209 Gibbons St ,ON,Central
,,,25.4,Residential,500000 CAD,1740 Thomas A Dolan Parkway ,ON,Central
2.0,1.0,,,Residential,299900 CAD,416 Denis Street ,ON,Central
3.0,1.0,,,Residential,204900 CAD,18246 Erie Shore ,ON,Central
3.0,1.0,,,Residential,449000 CAD,232 Nassau St ,ON,Central
2.0,2.0,1096.0,,Residential,460000 CAD,840 South Pelham Road ,ON,Central
3.0,2.0,,,Residential,499900 CAD,10 Briarwood Ave ,ON,Central
,,,,Residential,394900 CAD,264 Dufferin St. ,ON,Central
,,,,Residential,418998 CAD,920 DYNES ROAD ,ON,Central
3.0,1.0,,,Residential,459900 CAD,7 Mar Sideroad ,ON,Central
,,,0.34,Residential,199900 CAD,LT 3 Fairlawn Grove ,ON,Central
3.0,1.0,,0.15,Residential,269900 CAD,75 Thunder Dr. ,ON,Central
,,,,Residential,469900 CAD,"Manderley Drive, Toronto, ON1 ",ON,Central
2.0,2.0,1075.0,,Residential,440000 CAD,685 Woolwich Street ,ON,Central
1.0,1.0,,,Residential,499000 CAD,56 Annie Craig Dr ,ON,Central
3.0,2.0,,,Residential,474900 CAD,1321 Pinehurst Ave ,ON,Central
,,,,Residential,448000 CAD,17 Cripps Ave Toronto ,ON,Central
3.0,1.0,,,Residential,329000 CAD,185 Russell ,ON,Central
3.0,1.0,,,Residential,449900 CAD,4413 CHAMPLAIN STREET ,ON,Central
3.0,3.0,,,Residential,465000 CAD,3205 Uplands Drive ,ON,Central
7.0,2.0,1440.0,,Residential,499900 CAD,779 Partington ,ON,Central
3.0,1.0,1272.0,,Residential,269000 CAD,246 St. Charles St ,ON,Central
3.0,1.0,,ng>1,Residential,499900 CAD,1599 O'Neill Rd ,ON,Central
2.0,3.0,,,Residential,384900 CAD,1641 Du Sommet Place ,ON,Central
,,,,Residential,500000 CAD,"Mississauga-ON, Condos for Sale in the Heart of Mississauga ",ON,Central
3.0,2.0,,,Residential,419900 CAD,1019 Osborne Ave ,ON,Central
3.0,1.0,1114.0,,Residential,425000 CAD,303 Gilmore Road ,ON,Central
,,,,Residential,274900 CAD,77 Queenston ST ,ON,Central
,,,,Residential,175000 CAD,574 Yonge st ,ON,Central
2.0,2.0,980.0,,Residential,115000 CAD,42-25 mISSISSAUGA aVE  2 BEDRM CONDO ,ON,Central
,,,,Residential,399900 CAD,102 DREANEY Avenue ,ON,Central
3.0,1.0,1040.0,,Residential,153900 CAD,201 Birch Place ,ON,Central
3.0,1.0,1000.0,,Residential,419900 CAD,411 WALLACE Avenue N ,ON,Central
,,,,Residential,499900 CAD,1021 COUPLAND Road ,ON,Central
3.0,2.0,,,Residential,499900 CAD,537 Lancelot Cres ,ON,Central
,,390.0,1.24,Other,74500 CAD,No address available ,ON,Central
2.0,1.0,,,Residential,305000 CAD,1171 AmblesideDr ,ON,Central
3.0,2.0,,,Residential,475000 CAD,"2831 PRINCIPALE ST, Wendover K0A 3K0 ",ON,Central
1.0,1.0,500.0,,Residential,299900 CAD,6546 Mcleod Rd ,ON,Central
3.0,2.0,,,Residential,299900 CAD,1344 Arthur ,ON,Central
